x,y,z
-0.09799999999999998,0.09900000000000002,0
-0.09899999999999998,0.10000000000000002,0
-0.09899999999999998,0.109,0
-0.09799999999999998,0.11,0
-0.09799999999999998,0.113,0
-0.09699999999999998,0.114,0
-0.09699999999999998,0.116,0
-0.096,0.117,0
-0.096,0.11800000000000001,0
-0.094,0.12000000000000001,0
-0.094,0.12100000000000001,0
-0.088,0.127,0
-0.087,0.127,0
-0.08499999999999999,0.129,0
-0.08299999999999999,0.129,0
-0.08199999999999999,0.13,0
-0.07999999999999999,0.13,0
-0.07899999999999999,0.131,0
-0.07499999999999998,0.131,0
-0.07399999999999998,0.132,0
-0.063,0.132,0
-0.062,0.133,0
-0.059,0.133,0
-0.057999999999999996,0.134,0
-0.055999999999999994,0.134,0
-0.05499999999999999,0.135,0
-0.05299999999999999,0.135,0
-0.05199999999999999,0.136,0
-0.05099999999999999,0.136,0
-0.04999999999999999,0.137,0
-0.04899999999999999,0.137,0
-0.04799999999999999,0.138,0
-0.046999999999999986,0.138,0
-0.044999999999999984,0.14,0
-0.043999999999999984,0.14,0
-0.04099999999999998,0.14300000000000002,0
-0.03999999999999998,0.14300000000000002,0
-0.032,0.15100000000000002,0
-0.032,0.15200000000000002,0
-0.03,0.15400000000000003,0
-0.03,0.15500000000000003,0
-0.027999999999999997,0.15700000000000003,0
-0.027999999999999997,0.15800000000000003,0
-0.026999999999999996,0.15900000000000003,0
-0.026999999999999996,0.16000000000000003,0
-0.024999999999999994,0.16200000000000003,0
-0.024999999999999994,0.16400000000000003,0
-0.023999999999999994,0.16500000000000004,0
-0.023999999999999994,0.16700000000000004,0
-0.022999999999999993,0.16800000000000004,0
-0.022999999999999993,0.17000000000000004,0
-0.021999999999999992,0.17100000000000004,0
-0.021999999999999992,0.17600000000000005,0
-0.02099999999999999,0.17700000000000005,0
-0.02099999999999999,0.188,0
-0.01999999999999999,0.189,0
-0.01999999999999999,0.191,0
-0.01899999999999999,0.192,0
-0.01899999999999999,0.194,0
-0.017999999999999988,0.195,0
-0.017999999999999988,0.196,0
-0.016999999999999987,0.197,0
-0.016999999999999987,0.198,0
-0.009999999999999981,0.20500000000000002,0
-0.00899999999999998,0.20500000000000002,0
-0.00799999999999998,0.20600000000000002,0
-0.0069999999999999785,0.20600000000000002,0
-0.005999999999999978,0.20700000000000002,0
-0.004999999999999977,0.20700000000000002,0
-0.003999999999999976,0.20800000000000002,0
-0.001999999999999974,0.20800000000000002,0
-0.0010000000000000009,0.20900000000000002,0
0.01200000000000001,0.20900000000000002,0
0.013000000000000012,0.20800000000000002,0
0.015000000000000013,0.20800000000000002,0
0.016000000000000014,0.20700000000000002,0
0.018000000000000016,0.20700000000000002,0
0.019000000000000017,0.20600000000000002,0
0.020000000000000018,0.20600000000000002,0
0.02200000000000002,0.20400000000000001,0
0.02300000000000002,0.20400000000000001,0
0.028000000000000025,0.199,0
0.028000000000000025,0.198,0
0.029000000000000026,0.197,0
0.029000000000000026,0.196,0
0.030000000000000027,0.195,0
0.030000000000000027,0.194,0
0.031000000000000028,0.193,0
0.031000000000000028,0.191,0
0.03200000000000003,0.19,0
0.03200000000000003,0.187,0
0.03300000000000003,0.186,0
0.03300000000000003,0.17900000000000005,0
0.03200000000000003,0.17800000000000005,0
0.03200000000000003,0.17500000000000004,0
0.031000000000000028,0.17400000000000004,0
0.031000000000000028,0.17100000000000004,0
0.030000000000000027,0.17000000000000004,0
0.030000000000000027,0.16900000000000004,0
0.028000000000000025,0.16700000000000004,0
0.028000000000000025,0.16600000000000004,0
0.02200000000000002,0.16000000000000003,0
0.02100000000000002,0.16000000000000003,0
0.020000000000000018,0.15900000000000003,0
0.019000000000000017,0.15900000000000003,0
0.018000000000000016,0.15800000000000003,0
0.017000000000000015,0.15800000000000003,0
0.016000000000000014,0.15700000000000003,0
0.014000000000000012,0.15700000000000003,0
0.013000000000000012,0.15600000000000003,0
0.009000000000000008,0.15600000000000003,0
0.008000000000000007,0.15500000000000003,0
-0.002999999999999975,0.15500000000000003,0
-0.003999999999999976,0.15400000000000003,0
-0.0069999999999999785,0.15400000000000003,0
-0.00799999999999998,0.15300000000000002,0
-0.010999999999999982,0.15300000000000002,0
-0.011999999999999983,0.15200000000000002,0
-0.012999999999999984,0.15200000000000002,0
-0.013999999999999985,0.15100000000000002,0
